Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 persons","8177.342","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1950","1950","1000 persons","4120.465","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1950","1950","1000 persons","4056.883","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1950","1950","1000 persons","1880.542","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1950","1950","1000 persons","6296.8","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 persons","8398.231","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1951","1951","1000 persons","4238.415","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1951","1951","1000 persons","4159.809","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1951","1951","1000 persons","1893.798","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1951","1951","1000 persons","6518.806","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 persons","8595.072","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1952","1952","1000 persons","4342.232","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1952","1952","1000 persons","4252.832","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1952","1952","1000 persons","1899.419","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1952","1952","1000 persons","6721.551","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 persons","8782.173","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1953","1953","1000 persons","4439.526","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1953","1953","1000 persons","4342.651","X","International reliable sources",""
