Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1961","1961","tonnes","162790.13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1962","1962","tonnes","165966.34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1963","1963","tonnes","165137.24","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1964","1964","tonnes","157870.63","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1965","1965","tonnes","159199.81","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1966","1966","tonnes","152104.9","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1967","1967","tonnes","163099.47","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1968","1968","tonnes","174653.23","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1969","1969","tonnes","176191.23","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1970","1970","tonnes","168777.07","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1971","1971","tonnes","175711.1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1972","1972","tonnes","174203.04","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1973","1973","tonnes","171677.24","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1974","1974","tonnes","170042.79","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2946","Animal fats","1975","1975","tonnes","157570.67","A","Aggregate, may include official, semi-official, estimated or calculated data"
