Item,ItemB,ItemC,EF.commodity,LUm2.1000kcal,kgCO2e.1000kcal,SWW.liter.1000kcal,PO4e.1000kcal,kcal.per.gram.category,kcal.per.kg.FAO,kcals.per.gram,tmp,kcals.per.gram.Table,proteingrams.per.gram,fatgrams.per.gram,ItemX,Commodity,Trade ,Dom.demand,Dom.demand_V2,FoodSupply.AU,Considerations,Comm_ID,Commodity.profmap,Agstats_Commodity_Label,Agstats_Commodity_Code,SYSTEM,irrigation,Comm_sys,SPREAD_Commodity,Landuse2,LU_8_Class
Apples and products,Apples and products,Apples and products,Apples,1.3125,0.895833333,26976.25,3.020833333,APPLES,389.8424533,0.389842453,0.389842453,0.48,0.001,0.003,Apples and products,Apple,Fruits,Fruits,Apples,Apples and products,Shares remain constant - equivalence factors for juices and other products,2,Apple,Total Apples - total trees - number (n),4523015,dryland,0,Apple-dryland,Apples,Fruit,Horticulture
Bananas,Bananas,Bananas,Bananas,3.216666667,1.433333333,1103.166667,5.483333333,BANANAS,606.787797,0.606787797,0.606787797,0.6,0.007,0.003,Bananas,Banana,Fruits,Fruits,Fruits (nec),Bananas,Shares remain constant - equivalence factors for juices and other products,53,Banana,Bananas - total area (ha),4304615,dryland,0,Banana-dryland,Plantation Fruit,Fruit,Horticulture
Beans,Beans,Beans,Other Pulses,4.565982405,0.524926686,7663.72973,5.008797654,"BEANS, DRY",2983.79759,2.98379759,2.98379759,3.41,0.221,0.017,Beans,Field bean,Legumes ,Legumes,Legumes,Beans,Share of winter to summer production remains constant,270,Field Bean,Non-cereal broadacre crops - Field beans (including faba tick horse broad mung and other field beans) - area (ha),1907701,dryland,0,Field Bean-dryland,Winter Legumes,Legumes,Broadacre Crops
Beer,"Beverages, Alcoholic","Beverages, Alcoholic",Barley,0.222,0.236,139.28,0.466,BEER BARLEY,360.1298143,0.360129814,0.360129814,0.49,0.005,0,Beer,Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,Beer,,,,,,,,,Alcoholic beverages,,
"Beverages, Alcoholic","Beverages, Alcoholic","Beverages, Alcoholic",Barley,0.222,0.236,139.28,0.466,BEVERAGES DIST. ALCOHOL,2940.946938,2.940946938,2.940946938,2.95,0,0,"Beverages, Alcoholic",Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,"Beverages, Alcoholic",,,,,,,,,Alcoholic beverages,,
"Beverages, Fermented","Beverages, Alcoholic","Beverages, Alcoholic",Barley,0.222,0.236,139.28,0.466,"FERMENTED BEVERAGES, CIDER ETC.",283.7681601,0.28376816,0.28376816,0.47,0.001,0,"Beverages, Fermented",Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,"Beverages, Fermented",,,,,,,,,Alcoholic beverages,,
Bovine Meat,Bovine Meat,Bovine Meat,Beef (beef herd),119.4908425,36.43956044,12722.52747,110.4065934,BEEF BONELESS,1126.249739,1.126,1.2,1.5,0.185,0.079,Bovine Meat,Bovine Meat,Bovine Meat,Ruminant,Bovine Meat,Bovine Meat,Domestic demand met through domestic production,991,Beef Cattle,Meat cattle - total number (n),7009801,dryland,0,Beef Cattle-dryland,Beef Cattle,Livestock,Livestock
"Cereals, Other",Cereals (nec),Cereals (nec),Oatmeal,2.897445673,0.945482272,7162.104461,4.281357225,CEREALS NES,2281.25,11.4,11.4,3.4,0.08,0.015,Cereals Other,,Cereals (nec),Cereals,Cereals (nec),"Cereals, Other",Ratios between cereals remains constant to base year (responds to people's taste and is consistent with dietary guidelines),7,Cereals For Hay/silage,Hay - pasture cereal and other crops cut for hay - area (ha),3307801,dryland,0,Cereals For Hay/silage-dryland,Hay,Hay,Broadacre Crops
Maize and products,Cereals (nec),Cereals (nec),Maize,0.650082919,0.375898286,2402.056385,0.891100055,MAIZE,2952.398685,11.4,11.4,3.56,0.095,0.043,Maize and products,Maize,Cereals (nec),Cereals,Cereals (nec),Maize and products,Ratios between cereals remains constant to base year (responds to people's taste and is consistent with dietary guidelines),18,Maize,Cereal crops - Maize for grain- area (ha),1505301,dryland,0,Maize-dryland,Summer Cereals,Cereals,Broadacre Crops
Oats,Cereals (nec),Cereals (nec),Oatmeal,2.897445673,0.945482272,7162.104461,4.281357225,OATS,2026.490586,11.4,11.4,3.85,0.13,0.075,Oats,Oats,Cereals (nec),Cereals,Cereals (nec),Oats,Ratios between cereals remains constant to base year (responds to people's taste and is consistent with dietary guidelines),23,Oats,Cereal crops - Oats for grain - area (ha),1500801,dryland,0,Oats-dryland,Winter Cereals,Cereals,Broadacre Crops
Rye and products,Cereals (nec),Cereals (nec),Wheat & Rye,1.439074806,0.586843492,12479.05866,2.676305353,RYE,4326.046205,11.4,11.4,3.19,0.11,0.019,Rye and products,Rye,Cereals (nec),Cereals,Cereals (nec),Rye and products,Ratios between cereals remains constant to base year (responds to people's taste and is consistent with dietary guidelines),,,,,,,,Winter Cereals,Cereals,Broadacre Crops
Cheese,Cheese,Cheese,Cheese,22.68475452,6.170542636,46731.42119,25.41860465,CHEESE WHOLE COW MILK,3870,3.87,0.00387,3.87,0.25,0.31,Cheese,Dairy Cattle,Milk products,Milk products,Milk products,,,,,,,,,,Dairy Cattle,Livestock,Livestock
Coffee and products,Coffee and tea,Coffee and tea,Coffee,38.60714286,50.94642857,601.7857143,197.3571429,COFFEE ROASTED,395.3387133,0.77,0.77,0.56,0.08,0,Coffee and products,Plantation Fruit,Fruits,Fruits,Fruits (nec),Coffee and products,,,,,,,,,Plantation Fruit,,
